Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
itemSedativeT3_Desc,,,,,,Advanced sedative for crafting tranquilizer arrows and bolts. Requires chemistry station.,,Fortschrittliches Sedativum zur Herstellung von Betäubungspfeilen und -bolzen. Benötigt eine Chemiestation.,Sedante avanzado para fabricar flechas y saetas tranquilizantes. Requiere una estación de química.,Sédatif avancé pour fabriquer des flèches et carreaux tranquillisants. Nécessite un atelier de chimie.,Sedativo avanzato per creare frecce e dardi tranquillanti. Richiede un laboratorio chimico.,麻酔矢・ボルト作成用の上級鎮静剤。化学実験ステーションが必要。,마취 화살과 볼트 제작용 고급 진정제. 화학 작업기 필요.,Zaawansowany środek uspokajający do tworzenia strzał i bełtów usypiających. Wymaga laboratorium chemicznego.,Sedativo avançado para fabricar flechas e virotes tranquilizantes. Requer uma estação de química.,Продвинутое седативное для изготовления усыпляющих стрел и болтов. Требуется химлаборатория.,Sakinleştirici ok ve arbalet oku üretmek için gelişmiş sakinleştirici. Kimya İstasyonu gerektirir.,用于制作麻醉箭和弩箭的高级镇静剂。需要化学工作站。,用於製作麻醉箭和十字弓箭的高級鎮靜劑。需要化學工作站。
itemSedativeT4,,,,,,Sedative T4,,Sedativum T4,Sedante T4,Sédatif T4,Sedativo T4,鎮静剤 T4,진정제 T4,Środek uspokajający T4,Sedativo T4,Седативное средство T4,Sakinleştirici T4,镇静剂 T4,鎮靜劑 T4
itemSedativeT4_Desc,,,,,,Superior sedative for crafting tranquilizer arrows and bolts. Requires chemistry station.,,Hochwertiges Sedativum zur Herstellung von Betäubungspfeilen und -bolzen. Benötigt eine Chemiestation.,Sedante superior para fabricar flechas y saetas tranquilizantes. Requiere una estación de química.,Sédatif supérieur pour fabriquer des flèches et carreaux tranquillisants. Nécessite un atelier de chimie.,Sedativo superiore per creare frecce e dardi tranquillanti. Richiede un laboratorio chimico.,麻酔矢・ボルト作成用の上等鎮静剤。化学実験ステーションが必要。,마취 화살과 볼트 제작용 최상급 진정제. 화학 작업기 필요.,Doskonały środek uspokajający do tworzenia strzał i bełtów usypiających. Wymaga laboratorium chemicznego.,Sedativo superior para fabricar flechas e virotes tranquilizantes. Requer uma estação de química.,Превосходное седативное для изготовления усыпляющих стрел и болтов. Требуется химлаборатория.,Sakinleştirici ok ve arbalet oku üretmek için üstün sakinleştirici. Kimya İstasyonu gerektirir.,用于制作麻醉箭和弩箭的优质镇静剂。需要化学工作站。,用於製作麻醉箭和十字弓箭的優質鎮靜劑。需要化學工作站。
itemSedativeT5,,,,,,Sedative T5,,Sedativum T5,Sedante T5,Sédatif T5,Sedativo T5,鎮静剤 T5,진정제 T5,Środek uspokajający T5,Sedativo T5,Седативное средство T5,Sakinleştirici T5,镇静剂 T5,鎮靜劑 T5
itemSedativeT5_Desc,,,,,,Elite sedative for crafting tranquilizer arrows and bolts. Requires chemistry station.,,Elite-Sedativum zur Herstellung von Betäubungspfeilen und -bolzen. Benötigt eine Chemiestation.,Sedante de élite para fabricar flechas y saetas tranquilizantes. Requiere una estación de química.,Sédatif d'élite pour fabriquer des flèches et carreaux tranquillisants. Nécessite un atelier de chimie.,Sedativo d'élite per creare frecce e dardi tranquillanti. Richiede un laboratorio chimico.,麻酔矢・ボルト作成用のエリート鎮静剤。化学実験ステーションが必要。,마취 화살과 볼트 제작용 엘리트 진정제. 화학 작업기 필요.,Elitarny środek uspokajający do tworzenia strzał i bełtów usypiających. Wymaga laboratorium chemicznego.,Sedativo de elite para fabricar flechas e virotes tranquilizantes. Requer uma estação de química.,Элитное седативное для изготовления усыпляющих стрел и болтов. Требуется химлаборатория.,Sakinleştirici ok ve arbalet oku üretmek için elit sakinleştirici. Kimya İstasyonu gerektirir.,用于制作麻醉箭和弩箭的精英镇静剂。需要化学工作站。,用於製作麻醉箭和十字弓箭的精英鎮靜劑。需要化學工作站。
statTamingSedationValue,,,,,,Sedation,,Sedierung,Sedación,Sédation,Sedazione,鎮静,진정,Sedacja,Sedação,Седация,Sakinleştirme,镇静,鎮靜
statTamingValue,,,,,,Taming Amount,,Zähmmenge,Cantidad de domesticación,Quantité d'apprivoisement,Quantità di addomesticamento,テイム量,길들이기 수치,Ilość oswajania,Quantidade de domesticação,Количество приручения,Ehlileştirme Miktarı,驯化量,馴化量
companionAnimalTrough,,,,,,Animal Trough,,Tierfuttertrog,Comedero de animales,Mangeoire pour animaux,Mangiatoia per animali,動物用飼い桶,동물 여물통,Koryto dla zwierząt,Cocho de animais,Кормушка для животных,Hayvan Yemliği,动物食槽,動物食槽
companionAnimalTroughDesc,,,,,,A storage trough that nearby companions can use for food and water.,,"Ein Futtertrog mit Vorrat, aus dem nahe Begleiter Futter und Wasser nehmen können.",Un comedero con almacenamiento del que los compañeros cercanos pueden sacar comida y agua.,Une mangeoire de stockage dont les compagnons proches peuvent prendre nourriture et eau.,Una mangiatoia con riserva da cui i compagni vicini possono prendere cibo e acqua.,近くのコンパニオンが食料と水を取れる収納付きの飼い桶。,근처 동료가 먹이와 물을 꺼내 쓸 수 있는 저장형 여물통.,"Koryto magazynowe, z którego pobliscy towarzysze mogą brać jedzenie i wodę.",Um cocho de armazenamento do qual companheiros próximos podem pegar comida e água.,"Кормушка-хранилище, из которой ближайшие компаньоны могут брать еду и воду.",Yakındaki yoldaşların yiyecek ve su alabileceği bir depolama yemliği.,可供附近同伴取用食物和饮水的储存食槽。,可供附近同伴取用食物和飲水的儲存食槽。
Companions,,,,,,Companions,,Begleiter,Compañeros,Compagnons,Compagni,コンパニオン,동료,Towarzysze,Companheiros,Компаньоны,Yoldaşlar,同伴,同伴
companionsStarterEnabled,,,,,,Starting Companion,,Startbegleiter,Compañero inicial,Compagnon de départ,Compagno iniziale,開始時のコンパニオン,시작 동료,Towarzysz początkowy,Companheiro inicial,Стартовый компаньон,Başlangıç Yoldaşı,初始同伴,初始同伴
companionsStarterEnabledDesc,,,,,,Give each player one companion when they first enter a new world.,,Gibt jedem Spieler beim ersten Betreten einer neuen Welt einen Begleiter.,Da a cada jugador un compañero la primera vez que entra en un mundo nuevo.,Donne à chaque joueur un compagnon lors de sa première entrée dans un nouveau monde.,Assegna a ogni giocatore un compagno al primo ingresso in un nuovo mondo.,各プレイヤーが新しいワールドに初めて入ったとき、コンパニオンを1体与えます。,각 플레이어가 새 월드에 처음 입장할 때 동료 한 마리를 지급합니다.,Daje każdemu graczowi jednego towarzysza przy pierwszym wejściu do nowego świata.,Concede um companheiro a cada jogador na primeira vez que entrar em um novo mundo.,Выдаёт каждому игроку одного компаньона при первом входе в новый мир.,Her oyuncuya yeni bir dünyaya ilk girdiğinde bir yoldaş verir.,每位玩家首次进入新世界时获得一名同伴。,每位玩家首次進入新世界時獲得一名同伴。
companionsStarterAnimal,,,,,,Starter Companion,,Ausgewählter Startbegleiter,Compañero inicial seleccionado,Compagnon de départ choisi,Compagno iniziale selezionato,開始時のコンパニオン,시작 동료 선택,Wybrany towarzysz początkowy,Companheiro inicial selecionado,Выбранный стартовый компаньон,Seçilen Başlangıç Yoldaşı,初始同伴类型,初始同伴類型
companionsStarterAnimalDesc,,,,,,Choose which tamable animal is granted as the starting companion.,,"Wählt aus, welches zähmbare Tier als Startbegleiter vergeben wird.",Elige qué animal domesticable se concede como compañero inicial.,Choisissez quel animal apprivoisable est donné comme compagnon de départ.,Scegli quale animale addomesticabile viene assegnato come compagno iniziale.,開始時のコンパニオンとして与えるテイム可能な動物を選択します。,시작 동료로 지급할 길들일 수 있는 동물을 선택합니다.,Wybierz oswajalne zwierzę przyznawane jako towarzysz początkowy.,Escolha qual animal domesticável será concedido como companheiro inicial.,"Выберите приручаемое животное, которое будет выдано как стартовый компаньон.",Başlangıç yoldaşı olarak verilecek evcilleştirilebilir hayvanı seçin.,选择作为初始同伴获得的可驯服动物。,選擇作為初始同伴獲得的可馴服動物。
companionsStarterAge,,,,,,Starter Companion Age,,Alter des Startbegleiters,Edad del compañero inicial,Âge du compagnon de départ,Età del compagno iniziale,開始時のコンパニオンの年齢,시작 동료 나이,Wiek towarzysza początkowego,Idade do companheiro inicial,Возраст стартового компаньона,Başlangıç Yoldaşı Yaşı,初始同伴年龄,初始同伴年齡
companionsStarterAgeDesc,,,,,,Choose the age stage of the starting companion.,,Wählt die Altersstufe des Startbegleiters.,Elige la etapa de edad del compañero inicial.,Choisissez le stade d'âge du compagnon de départ.,Scegli la fase d'età del compagno iniziale.,開始時のコンパニオンの成長段階を選択します。,시작 동료의 성장 단계를 선택합니다.,Wybierz etap wieku towarzysza początkowego.,Escolha a fase de idade do companheiro inicial.,Выберите возрастную стадию стартового компаньона.,Başlangıç yoldaşının yaş evresini seçin.,选择初始同伴的年龄阶段。,選擇初始同伴的年齡階段。
companionsStarterAgeInfant,,,,,,Infant,,Säugling,Cría,Nourrisson,Cucciolo,幼体,유아기,Niemowlę,Filhote,Детёныш,Yavru,幼崽,幼崽
companionsStarterAgeJuvenile,,,,,,Juvenile,,Jungtier,Joven,Jeune,Giovane,若年,성장기,Młody,Jovem,Молодняк,Genç,幼年,幼年
companionsStarterAgeAdult,,,,,,Adult,,Ausgewachsen,Adulto,Adulte,Adulto,成体,성체,Dorosły,Adulto,Взрослый,Yetişkin,成年,成年
companionsStarterAgeElder,,,,,,Elder,,Alt,Anciano,Âgé,Anziano,老齢,노령,Stary,Idoso,Пожилой,Yaşlı,老年,老年
sandboxOptionCategoryCompanions,,,,,,Companions,,Begleiter,Compañeros,Compagnons,Compagni,コンパニオン,동료,Towarzysze,Companheiros,Компаньоны,Yoldaşlar,同伴,同伴
companionsStarterGender,,,,,,Starter Companion Gender,,Geschlecht des Startbegleiters,Género del compañero inicial,Sexe du compagnon de départ,Genere del compagno iniziale,開始時のコンパニオンの性別,시작 동료 성별,Płeć towarzysza początkowego,Gênero do companheiro inicial,Пол стартового компаньона,Başlangıç Yoldaşı Cinsiyeti,初始同伴性别,初始同伴性別
companionsStarterGenderDesc,,,,,,Choose the gender of the starting companion.,,Wählt das Geschlecht des Startbegleiters.,Elige el género del compañero inicial.,Choisissez le sexe du compagnon de départ.,Scegli il genere del compagno iniziale.,開始時のコンパニオンの性別を選択します。,시작 동료의 성별을 선택합니다.,Wybierz płeć towarzysza początkowego.,Escolha o gênero do companheiro inicial.,Выберите пол стартового компаньона.,Başlangıç yoldaşının cinsiyetini seçin.,选择初始同伴的性别。,選擇初始同伴的性別。
companionsStarterGenderRandom,,,,,,Random,,Zufällig,Aleatorio,Aléatoire,Casuale,ランダム,무작위,Losowa,Aleatório,Случайно,Rastgele,随机,隨機
companionsStarterGenderMale,,,,,,Male,,Männlich,Macho,Mâle,Maschio,オス,수컷,Samiec,Macho,Самец,Erkek,雄性,雄性
companionsStarterGenderFemale,,,,,,Female,,Weiblich,Hembra,Femelle,Femmina,メス,암컷,Samica,Fêmea,Самка,Dişi,雌性,雌性
companionRevivalBandage,,,,,,Companion Revival Bandage,,Wiederbelebungsverband für Begleiter,Venda de reanimación para compañeros,Bandage de réanimation pour compagnon,Benda di rianimazione per compagni,コンパニオン蘇生包帯,동료 소생 붕대,Bandaż wskrzeszający towarzysza,Atadura de reanimação para companheiros,Бинт для воскрешения компаньона,Yoldaş Canlandırma Bandajı,伙伴复活绷带,夥伴復活繃帶
companionRevivalBandageDesc,,,,,,A highly medical bandage for reviving a dead companion.\n\nAs long as there is still a body!,,Ein hochwirksamer medizinischer Verband zur Wiederbelebung eines verstorbenen Begleiters.\n\nSolange noch ein Körper vorhanden ist!,Una venda médica altamente eficaz para reanimar a un compañero muerto.\n\n¡Siempre que aún quede un cuerpo!,Un bandage médical très efficace permettant de réanimer un compagnon mort.\n\nTant qu’il reste encore un corps !,Una benda medica altamente efficace per rianimare un compagno morto.\n\nPurché ci sia ancora un corpo!,死亡したコンパニオンを蘇生するための高性能な医療包帯。\n\nまだ遺体が残っている限り！,죽은 동료를 소생시키는 고성능 의료 붕대입니다.\n\n시신이 아직 남아 있다면 말이죠!,Wysoce skuteczny bandaż medyczny służący do wskrzeszania martwego towarzysza.\n\nO ile ciało nadal istnieje!,Uma atadura médica altamente eficaz para reanimar um companheiro morto.\n\nDesde que ainda exista um corpo!,Высокоэффективный медицинский бинт для воскрешения погибшего компаньона.\n\nЕсли тело всё ещё на месте!,Ölü bir yoldaşı canlandırmak için kullanılan son derece etkili tıbbi bir bandaj.\n\nTabii ortada hâlâ bir beden varsa!,用于复活死亡伙伴的高效医疗绷带。\n\n前提是尸体还在！,用於復活死亡夥伴的高效醫療繃帶。\n\n前提是屍體還在！

